naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Мангут - Кыра;63696202,26;576859,77;576859,77;7914,17;568945,60;7914,17;561031,43;7914,17;553117,26;7914,17;545203,09;7914,17;537288,92;7914,17;529374,75;7914,17;521460,58;7914,17;513546,41;7914,17;505632,24;7914,17;497718,07;7914,17;489803,90;7914,17;481889,73;7914,17
Могойтуй - Боржигантай;12805548,00;89170,04;89170,04;1095,65;88074,39;1095,65;86978,74;1095,65;85883,09;1095,65;84787,44;1095,65;83691,79;1095,65;82596,14;1095,65;81500,49;1095,65;80404,84;1095,65;79309,19;1095,65;78213,54;1095,65;77117,89;1095,65;76022,24;1095,65
Могойтуй - Догой;11284574,00;368873,10;368873,10;23936,44;344936,66;23936,44;321000,22;23936,44;297063,78;23936,44;273127,34;23936,44;249190,90;23936,44;225254,46;23936,44;201318,02;19667,43;181650,59;2116,36;179534,23;2116,36;177417,87;2116,36;175301,51;2116,36;173185,15;2116,36
Могойтуй - Сретенск - Олочи;3002898209,58;1503551980,65;1503551980,65;14681993,68;1488869986,97;14461744,64;1474408242,33;14445489,23;1459962753,10;14370355,35;1445592397,75;14328477,16;1431263920,59;14328477,16;1416935443,43;14328477,16;1402606966,27;14328372,85;1388278593,42;14324072,14;1373954521,28;14322893,06;1359631628,22;14322893,06;1345308735,16;14322893,06;1330985842,10;14322872,54
Могойтуй - Убур-Тохтор - Акша;9558508,00;957721,71;957721,71;26347,34;931374,37;26347,34;905027,03;26347,34;878679,69;26347,34;852332,35;26347,34;825985,01;26347,34;799637,67;26347,34;773290,33;23832,83;749457,50;13595,70;735861,80;13033,58;722828,22;11604,12;711224,10;11561,50;699662,60;11527,34
Могойтуй - Ушарбай;2591412,00;13464,04;13464,04;573,58;12890,46;573,58;12316,88;573,58;11743,30;573,58;11169,72;573,58;10596,14;563,04;10033,10;436,61;9596,49;436,61;9159,88;379,33;8780,55;375,72;8404,83;375,72;8029,11;375,72;7653,39;375,72
Могоча - Тупик;54210970,00;2359592,51;2359592,51;51707,00;2307885,51;51706,89;2256178,62;51706,89;2204471,73;51145,27;2153326,46;49905,07;2103421,39;49856,08;2053565,31;49794,77;2003770,54;49768,04;1954002,50;49760,64;1904241,86;49747,57;1854494,29;49742,04;1804752,25;48030,05;1756722,20;47645,76
Молодежный - Досатуй;32602500,00;173562,41;173562,41;3628,53;169933,88;3628,53;166305,35;3628,53;162676,82;3628,53;159048,29;3628,53;155419,76;3628,53;151791,23;3628,53;148162,70;3628,53;144534,17;3628,53;140905,64;3628,53;137277,11;3628,53;133648,58;3628,53;130020,05;3628,53
Нерчинск - Шоноктуй;272564097,00;26603712,11;26603712,11;344433,02;26259279,09;344433,02;25914846,07;344423,71;25570422,36;343940,90;25226481,46;343857,58;24882623,88;343416,48;24539207,40;342355,70;24196851,70;342355,70;23854496,00;342355,70;23512140,30;339701,48;23172438,82;337303,01;22835135,81;337303,01;22497832,80;337303,01
Нерчинский Завод - Булдуруй 1-й;12655654,00;270752,28;270752,28;2786,56;267965,72;2786,56;265179,16;2786,56;262392,60;2786,56;259606,04;2786,56;256819,48;2786,56;254032,92;2786,56;251246,36;2786,56;248459,80;2786,56;245673,24;2786,56;242886,68;2786,56;240100,12;2786,56;237313,56;2786,56
